"code","name","requirement_type","semester","start_year","end_year","semester_season"
"IB3001G","Szakdolgozat készítése 2.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IBM3000","Diplomamunka készítése I.","Gyakorlati jegy","2021/22/2","2021","2022","spring"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2019/20/2","2019","2020","spring"
"IMEN3000","Thesis Work 1.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IB970","Szakdolgozat készítése 1. BSc (gi)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMEN501","Thesis work 1.","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN5021miG","Diplomamunka készítése I. MI","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IMN502G-00001","Diplomamunka készítése I. (GI)","Gyakorlati jegy","2020/21/2","2020","2021","spring"
"IML311L","L Operációs rendszerek az iskolában lab. gyak. ","Gyakorlati jegy","2018/19/2","2018","2019","spring"
"IBL611l","L Rendszerfejlesztés II. gyak.","Gyakorlati jegy","2017/18/2","2017","2018","spring"
"IML249L","L Szoftverfejlesztés MSc. lab. gyak.","Gyakorlati jegy","2012/13/2","2012","2013","spring"
"IMN311E","Operációs rendszerek az iskolában","Kollokvium","2017/18/1","2017","2018","fall"
