Tárgykód,Tárgy neve,Követelmény,Típus,Félév,Kurzus,,,,,,,,,,,,,,,,
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2019/20/2,Nem,,,,,,,,,,,,,,,,73
IB900ui,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,74
IMN502G-00001,Diplomamunka készítése I. (GI),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,75
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2021/22/2,Nem,,,,,,,,,,,,,,,,76
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2016/17/2,Nem,,,,,,,,,,,,,,,,77
IMN311E,Operációs rendszerek az iskolában,Kollokvium,O,2020/21/1,Nem,,,,,,,,,,,,,,,,78
IMEN3001,Thesis Work 2.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,79
IBM3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,80
IB901ui,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,81
IML5022miG,Diplomamunka készítése II. gy.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,82
IML5021miG,Diplomamunka készítése I. gy.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,83
IB970,Szakdolgozat készítése 1. BSc (gi),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,84
IMN5021miG,Diplomamunka készítése I. MI,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,85
IB980g-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,86
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2020/21/2,Nem,,,,,,,,,,,,,,,,87
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2018/19/2,Nem,,,,,,,,,,,,,,,,88
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2018/19/2,Nem,,,,,,,,,,,,,,,,89
IB370G,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2019/20/1,Nem,,,,,,,,,,,,,,,,90
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2019/20/1,Nem,,,,,,,,,,,,,,,,91
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,92
IMN551,Diplomamunka készítése II. MSc,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,93
ITN9992G,Szakdolgozat,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,94
IB985-00001,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,95
ITN9991G,Szakdolgozat előkészítése,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,96
IB980,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,97
IB980g-00001,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,98
IML249L,L Szoftverfejlesztés MSc. lab. gyak.,Gyakorlati jegy,O,2012/13/2,Nem,,,,,,,,,,,,,,,,99
IB370G,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2018/19/1,Nem,,,,,,,,,,,,,,,,100
IML253L-00001,L Üzleti webtechnológiák lab. gyak.,Gyakorlati jegy,O,2014/15/1,Nem,,,,,,,,,,,,,,,,101
I611l,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2013/14/2,Nem,,,,,,,,,,,,,,,,102
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2017/18/1,Nem,,,,,,,,,,,,,,,,103
I056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2014/15/2,Nem,,,,,,,,,,,,,,,,104
IMN249L,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2014/15/2,Nem,,,,,,,,,,,,,,,,105
IB056g,Szoftverfejlesztés gyak.,Gyakorlati jegy,O,2014/15/2,Nem,,,,,,,,,,,,,,,,106
I611l,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2014/15/2,Nem,,,,,,,,,,,,,,,,107
IMN501,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,108
IB900ui,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,109
IBML3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,110
IB3000G,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,111
IMN552G,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,112
KBN094G-00004,Szakdolgozat (Molekuláris bionika BSc),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,113
IMN253L,Üzleti webtechnológiák gyak konf,Gyakorlati jegy,O,2020/21/1,Nem,,,,,,,,,,,,,,,,114
IB985,Szakdolgozat készítése 2. BSc (mi),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,115
IB901vm,Szakdolgozat készítése 2.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,116
IB955,Szakdolgozat készítés 2. (pti2),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,117
IB3000G,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,118
IBM3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,119
IB980g,Szakdolgozat készítése 1. BSc (mi),Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,120
IB370uiL,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2019/20/1,Nem,,,,,,,,,,,,,,,,121
IB611uiG,Rendszerfejlesztés II.,Gyakorlati jegy,O,2019/20/2,Nem,,,,,,,,,,,,,,,,122
IML311E-00002,L Operációs rendszerek az iskolában ea.,Kollokvium,O,2021/22/2,Nem,,,,,,,,,,,,,,,,123
IBM3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,124
IB985g,Szakdolgozat és Diplomamunka II.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,125
IMN311L,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,126
IML5021miG,Diplomamunka készítése I. gy.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,127
IMN602G1,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,128
IB970,Szakdolgozat készítése 1. BSc (gi),Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,129
IBML3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,130
IBM3000,Diplomamunka készítése I.,Gyakorlati jegy,O,2021/22/2,Nem,,,,,,,,,,,,,,,,131
ITN311MKE,Operációs rendszerek az iskolában,Kollokvium,O,2021/22/2,Nem,,,,,,,,,,,,,,,,132
IB103g-00001,Programozás alapjai gyak.,Gyakorlati jegy,O,2012/13/1,Nem,,,,,,,,,,,,,,,,133
I103g-00004,Programozás alapjai gyak.,Gyakorlati jegy,O,2012/13/1,Nem,,,,,,,,,,,,,,,,134
IL611l-00001,L Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2017/18/2,Nem,,,,,,,,,,,,,,,,135
IMN502G-00001,Diplomamunka készítése I. (GI),Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,136
IB370G,Szkriptnyelvek gyak.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,137
IMEN551G,Thesis Work II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,138
IMN551,Diplomamunka készítése II. MSc,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,139
IBM3001,Diplomamunka készítése II.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,140
IB611g,Rendszerfejlesztés II. gyak.,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,141
IB900vm,Szakdolgozat készítése 1.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,142
IMN602G1,Szakdolgozat és Diplomamunka I.,Gyakorlati jegy,O,2021/22/1,Nem,,,,,,,,,,,,,,,,143
ITL311MKG,Operációs rendszerek az iskolában gyak,Gyakorlati jegy,O,2020/21/2,Nem,,,,,,,,,,,,,,,,144
IML311E-00001,L Operációs rendszerek az iskolában ea. MSc.,Kollokvium,O,2018/19/2,Nem,,,,,,,,,,,,,,,,145
